title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
"그 자리에, 그 시간에",이창섭,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b2/46/f2/b246f2f9-04c1-9a95-5f47-5041e7e30bdd/mzaf_1345093688019397462.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a1/3c/54/a13c54f7-57e3-2204-5f29-4d6a5d5b7365/888272158052.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B7%B8-%EC%9E%90%EB%A6%AC%EC%97%90-%EA%B7%B8-%EC%8B%9C%EA%B0%84%EC%97%90/1829394870?i=1829394871&uo=4
우리가 사랑한 모든 날들,전건호,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0b/6a/16/0b6a163f-7288-bc16-7e72-0fffc49fcd57/mzaf_7941605170858462309.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/12/99/f0/1299f026-f0a9-4a68-a972-53a7e3f768f2/cover_KM0023406_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%9A%B0%EB%A6%AC%EA%B0%80-%EC%82%AC%EB%9E%91%ED%95%9C-%EB%AA%A8%EB%93%A0-%EB%82%A0%EB%93%A4/1837850581?i=1837850583&uo=4
보고싶지 않은 니가 보고싶다,임창정,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e1/cd/fb/e1cdfb53-9c94-4b34-eb65-2a3988d63b51/mzaf_6868077324685772939.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b7/74/7c/b7747cb2-d9a2-d3fc-7967-aab334c6ec86/8804775421501.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%B3%B4%EA%B3%A0%EC%8B%B6%EC%A7%80-%EC%95%8A%EC%9D%80-%EB%8B%88%EA%B0%80-%EB%B3%B4%EA%B3%A0%EC%8B%B6%EB%8B%A4/1831644640?i=1831644641&uo=4
나에게 그대만이,이예준,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9a/26/f3/9a26f3a4-caaa-2d79-320f-28c5dd79ed52/mzaf_5950475792111555263.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/72/c4/e7/72c4e711-30bb-9caa-1bbe-e2fef66d3469/cover_KM0023349_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%82%98%EC%97%90%EA%B2%8C-%EA%B7%B8%EB%8C%80%EB%A7%8C%EC%9D%B4/1834076370?i=1834076371&uo=4
그때 그 남자,지아,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/91/84/03/9184033c-21b0-85d1-3102-ab566d367152/mzaf_7564995190001785011.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c5/d7/d1/c5d7d119-aae2-7ed0-e049-09d22a3a6437/cover_KM0023070_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B7%B8%EB%95%8C-%EA%B7%B8-%EB%82%A8%EC%9E%90/1822675911?i=1822675912&uo=4
이게 뭐냔 말이야,허용별,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/13/24/ee/1324ee38-1858-4644-d66f-320366b480bc/mzaf_5786620735460491086.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ba/52/b1/ba52b1a1-0c4b-4821-8c36-34bfd5b8b1fa/cover_KM0022915_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%9D%B4%EA%B2%8C-%EB%AD%90%EB%83%94-%EB%A7%90%EC%9D%B4%EC%95%BC/1817549294?i=1817549295&uo=4
오르막길 (feat. 윤종신),박보검,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/71/55/0f/71550f79-9060-5f65-579e-8f044ea25270/mzaf_10695433805455653117.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a0/b9/a3/a0b9a3a5-4935-d772-e7d8-cb160d780d49/888272158359_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%98%A4%EB%A5%B4%EB%A7%89%EA%B8%B8-feat-%EC%9C%A4%EC%A2%85%EC%8B%A0/1830206386?i=1830206389&uo=4
Close your eyes,DK(디셈버),발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/29/66/ce/2966ce2d-6cdb-d0fd-f167-747d6faf7645/mzaf_9694550573665033277.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/98/05/47/9805478c-e74e-3aef-a0f8-edcb73eb6040/888272160000.jpg/100x100bb.jpg,https://music.apple.com/kr/album/close-your-eyes/1836858283?i=1836858284&uo=4
운명 (2025),먼데이키즈 & 이이경,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/14/46/ad/1446ad84-04e9-116e-fead-545de650b16c/mzaf_9797062287762999784.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/81/4e/12/814e124b-7380-4b19-98f7-7b952485ee7e/8804775420924.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%9A%B4%EB%AA%85-2025/1828335690?i=1828335691&uo=4
화분,하현상,발라드,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b9/10/38/b910385a-1efa-0065-c1e8-1be0915543e1/mzaf_11131085821777477139.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/91/e2/f5/91e2f57b-e0d0-ea99-1be4-470c9e352ffb/cover_KM0022894_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%ED%99%94%EB%B6%84/1816869481?i=1816869482&uo=4
